Sentiment,Tweet
neutral,"@united to be clear on my luggage comment, I am referencing the photo attached. Flight 6232 to JAC http://t.co/PnBajfkmHG"
positive,@united I wanna be grand staff
negative,@united. DAY to IAD and CVG to IAD both Cancelled Flightled by United but all other airlines operating. Friend stuck and now miss intl flight. Help?
positive,@JetBlue Looking cool
negative,@USAirways disappointment? Making own arrangements for me &amp; my sleeping toddler with zero assistance from USAir is maddening.
neutral,"@southwestair,  kudos to your rep ""Patricia"" at gate B11 this Sunday morning at #Chicago #Midway #MDW,… http://t.co/MmCWkqp2gy"
negative,@JetBlue my butt hurts.
neutral,"@SouthwestAir departing MDW it's cold 26F, windy with snow on the ground for sunny and 70F las vegas  @LASairport http://t.co/2IR7ynMBdU"
negative,@AmericanAir u Cancelled Flightled my flight for tomorrow and tell me to call reservations but then refuse to take my call!!!  #not cool #hateful
positive,@VirginAmerica my goodness your people @love field are amazing under pressure ❤️from Texas #beatstheothers in crisis Please fly me to NY
negative,@AmericanAir all of these issues are not based on weather or things that are out of your control. These  issues are based on negligence.
negative,@USAirways I just spent 3.5 hours and got nowhere. Entire experience #epicfail
negative,@USAirways - have dinner reservations in a few minutes -- and I've been trying to get through to you since BREAKFAST. #onholdwith
negative,@USAirways I have a voucher from a past trip that was delayed. I thought I had to talk to someone on the phone to use it. Is that not true?
positive,@VirginAmerica Thanks for a great flight from LA to Boston! Pilots did a great job landing in the snow. Can we go back to LA now? #seriously
negative,@USAirways link didn't work via Mobil.
negative,"@AmericanAir I tried when I landed, but there was no-one there.  I've emailed your customer service twice now who don't seem to care."
negative,"@USAirways : Was on flight 2046 BOS-CLT on 2/22, awful experience, exit row seat was so narrow that I could not move my legs! Unacceptable."
negative,"@JetBlue I cheated on you, and I'm sorry. I'll never do it again. @SouthwestAir has given my wife and I the worst start to a honeymoon ever"
negative,@USAirways this is crazy. Haven't spoken to a human yet. There has to be a better way. http://t.co/mEOAlCIPdD
positive,@VirginAmerica hahaha 😂@VirginAmerica YOU GUYS ARE AMAZING. I LOVE YOU GUYS!!!💗
negative,@united Flight 395. Rolling delay of 1 hour 42 minutes
negative,@JetBlue we haven't even gotten off the plane yet! I can't afford to miss my flight back to Boston! Ugh.
neutral,@united Cancelled Flighting. bought a ticket for a friend but cant get the credit under my name
neutral,@AmericanAir um no just hanging out what’s new w you?
negative,@JetBlue I don't think I'll be testing those waters out on my own dime again.
positive,@SouthwestAir Kudos for adding #Passbook to your app! I LOVE IT!
negative,@united What is your phone number. I can't find who to call about a flight reservation.
negative,"@united on a 4 seg flt yvr to zurich, why would you credit all miles and but only 2 segs on full fare?"
negative,@united your system is down and after being on hold for over 20 mins -Mia tells me she is going to charge a Flight Booking Problems fee?! Customer service?
positive,@SouthwestAir thanks I think we've got it figured out
neutral,@united I see you coming to get me and @AggieMensGolf in Hawaii! #12thMan http://t.co/G8DKa3Edhf
neutral,"@SouthwestAir that was supposed to say ""boo"" not book. booo."
negative,.@USAirways I rebooked myself - but Cancelled Flighting flight because crew expired after boarding is unacceptable. You started delaying at 1:30pm.
neutral,@SouthwestAir Do you anticipate any Cancelled Flightlations for flights out of Nashville tomorrow? Thank you!
negative,@AmericanAir Yes and without my bags. 2 first class tickets to Tahiti would be nice. Just saying
negative,@SouthwestAir Cancelled Flightled my flight out of BNA today. Been on hold for an hour. 😠 #frustrated!
neutral,@united is flight 587 from DFW to ORD currently on-time? I see an advisory that DFW may be affected by weather
negative,@AmericanAir I'm frustrated by all of the @USAirways attitude toward #ExecPlat members. #thenewamerican
neutral,@USAirways conf number FMJTYL delayed - any chance of getting an earlier flight fll to phx?
positive,@united this is why I fly @SouthwestAir ... Never have any issues
negative,@SouthwestAir my flight was Cancelled Flighted for tomorrow and hold times are long can I Cancelled Flight a leg with you?
positive,@USAirways made it! Just! Huge relief - thanks for your help!
negative,@AmericanAir today's wait was a violation of #dot #passengerbillofrights http://t.co/GxvFumn3iZ
negative,"@united frankly worse customer service ever. Problems will happen, how you deal defines a company. Never again United."
negative,@united 4 different departure / arrival updates for UA304??? In 1hr. Please!
neutral,@united flight...gotta make this connector
positive,@SouthwestAir Thank you!  #thankful #feelingtheluv
neutral,@united flying gla-mco in a few weeks. How long do we have to be at airport for before departure for both international and domestic? Ta
negative,@SouthwestAir don't you think a 4hr wait time to speak to an actual agent is ridiculous?! My flight was Cancelled Flightled this morning! #Getyourlife
negative,@AmericanAir I was happy to purchase the upgrade. If only it was avail on my next flight.
negative,@United now what?!? http://t.co/5hpSqVRjK8 flight was gone when I got off plane! #BusinessTravel #goodenoughmother
negative,@SouthwestAir you Cancelled Flightled my flight to BNA. I have flight from BNA 2 MDW tomorrow AM. You stranded me in DEN. I've been on hold all day
negative,@united my flight Cancelled Flightled new flight 5012 hopefully will not.
neutral,@USAirways @AmericanAir when is US Air switching to AA iOS app? AA app is much better.
negative,@USAirways flt 470 Tampa to CLT is very Late Flight gonna miss conn to BOS what can you do?
negative,@USAirways Handled. I found tkt on floor dropped by someone. No way - I’m in wheelchair - to get to podium.
positive,@JetBlue thank you! I know the weather in #Boston isn't great. Everyone's tired
negative,"@USAirways this day has been a disaster, rude employees, no help &amp; now no hotel. not flying with you again &amp; I fly ALOT! Dallas=raise=now!"
negative,@SouthwestAir Is my friend lucky enough to see #DestinationDragons live on his birthday? He's been a fan for years @thirty_lives
negative,@SouthwestAir would really like my baggage from yesterday. Employees at Akron giving me a tough time.
negative,@USAirways how long are you going make us sit in this plane while they repair it? Could I at least get a beer???
negative,@united hi.I am still waiting for the refund. This is ridiculous.Or u approve my tickets or u give me a refund.Please advise wht is going on
negative,@AmericanAir thanks! I hope we get movies. Tv's were broke on the flight over
negative,@united flight just Cancelled Flightled. This is ridiculous
negative,@United you need to get it together 3 of 4 flights Cancelled Flightled stranded with no car and my baggage is lost!  You NEVER get it right.
negative,@USAirways I will never fly @USAirways again
negative,@USAirways so apparently all of your computers crashed at BWI?  Any update on when flights will be moving?
neutral,"@SouthwestAir snapchat, iMessage, instagram......"
neutral,@jetblue who's running your tweeter using the word fleek?
negative,"@SouthwestAir where are our bags?
We have a tv show to film!!"
negative,@JetBlue Tell me at what point will u realize u can't fly into DCA tonight- u Cancelled Flightled the 1pm when will u Cancelled Flight the 5:26
neutral,@SouthwestAir landing early morning @BWI_Airport after snowfall. http://t.co/apRZsPxigE
negative,"@AmericanAir @USAirways and our meals are also on us, because this company does not care about their #customers. Truly disgraceful."
positive,@SouthwestAir @love_dragonss oh my gosh
neutral,@JetBlue yer deals never seem to include NYC--&gt;PDX or NYC--&gt;PGH...wish they did!
neutral,@SouthwestAir I'm Flight Booking Problems a flight to Vegas. Any good promo codes??
negative,"@USAirways we can't afford the international change fees to rebook our trip so we wanted to go home, turns out we can't afford to go home."
negative,@SouthwestAir I want to file a formal complaint against a disgruntled employee @ LaGuardia who ruined mltple people's travel plans yesterday
negative,@USAirways your people are kind and hardworking the infrastructure you have given them is horrid #massivefail #failphone #fail
negative,@USAirways What is going on with flight 1826 from PHL to PHX? 10 mins to estimated departure nobody has board and no update.
positive,@SouthwestAir @FortuneMagazine I always tell everyone to fly Southwest! Congratulations!!!
negative,@AmericanAir should reconsider #usairways acquisition. Flight 1843 AA gold flyers insulted by attendant for hanging jacket!
negative,@united they helped me at the baggage service desk.  Said bc TSA screening was down in FLL not all bags made it but bag will be in EWR @ 12
negative,@USAirways will you please update your website with the most current flight status? And update your customer service phone # on @google thx
negative,@USAirways the disappointment was not the bag but that it arrived before me and I was kept 12 hrs without options in IAH
neutral,............. RT @JetBlue: Our fleet's on fleek. http://t.co/X7iLzqdwe2
positive,"@AmericanAir Thanks gang! Mind if I ask, do you handle all of your Social Media in house?"
negative,"@SouthwestAir thanks a lot for sending a ""special deal"" with @Budget. Getting screwed is the best when on vacation #sarcasm get new partners"
negative,@JetBlue something they're not telling us (2)
negative,@JetBlue thanks for the response. Just been waiting for 5 hours and really frustrated. Seems like no one at JetBlue is concerned.
